atom,x,y,z
O,-10.08459,-8.78432,12.63079
O,-11.09309,10.07838,10.03079
O,-10.56009,10.32318,11.26079
O, 0.24613, 1.04310, 1.29650
O,-0.73987, 1.91160, 1.31650
O, 0.44992, 2.64100,-6.00350
O, 0.66898, 1.88210,-4.92350
O, 1.49443,-8.61452, 0.50650
O, 0.91243,-9.30148, 1.42650
O,-1.50147,-9.19990,-5.61350
O,-2.26187,-10.11590,-6.16350
O,-0.87097,-3.08710,-9.38350
O,-0.00867,-2.56200,-8.61350
O,-3.14547, 3.82860,-6.02350
O,-2.25867, 4.19748,-5.06350
O, 5.15283, 1.74740, 4.21650
O, 4.62973, 2.99960, 4.06650
O, 8.75073,-1.09940,-0.76350
O, 9.93763,-1.15940,-0.29350
O, 2.59056,-7.21790,-8.83350
O, 1.57629,-8.05590,-8.73350
O, 7.99833,-7.25690, 1.92650
O, 8.76233,-6.54790, 2.68650
O,-9.61597,-6.02650,-2.21350
