atom,x,y,z
O, 4.59931,-13.34251, 9.99788
O, 8.71436, 9.50539, 6.55788
O, 8.63867, 8.80919, 7.66788
O,-1.54709,-11.19661,12.04788
O,-1.12999,-10.38221,12.96788
O,-13.57239,-10.29981,-1.45212
O,-13.87039,-9.76771,-0.29212
O,12.31901,-3.64491,-6.39212
O,12.04361,-3.17091,-5.17212
O,-9.46504,10.93259, 6.30788
O,-9.90067,11.26809, 7.49788
O,10.30861,-8.99981, 9.80788
O,10.48561,-9.70471,10.86788
O, 8.80681,-10.63081,-8.83212
O, 9.34451,-11.89441,-8.75212
O,12.11148,10.50429,-6.23212
O,13.33257,10.84569,-6.58212
O,-10.58959, 2.21879,14.16788
O,-9.61639, 1.61919,14.73788
O,-8.57169,-11.36981,14.58788
O,-7.59519,-12.22651,14.65788
O, 9.67615, 7.50009,13.02788
O, 9.65544, 6.86789,14.12788
O,-1.37936, 0.50617, 2.29286
O,-0.36816, 0.97337, 2.91286
O,-0.59266, 5.66077, 0.77286
O,-0.37866, 6.40697, 1.86286
O,-3.23146,-6.98873,-1.01714
O,-3.56246,-8.18213,-0.55714
O,-5.28419,-1.50833, 7.15286
O,-6.11895,-2.29383, 7.62286
O, 9.49544, 0.39847, 5.19286
O, 9.67454,-0.79253, 4.62286
O, 3.91884,-2.24353, 6.47286
O, 5.25444,-2.23703, 6.63286
O, 9.78094,-2.40493, 0.81286
O, 9.54914,-3.70593, 0.87286
O,-7.55308,-4.15693, 0.79286
O,-7.74555,-3.03303, 1.53286
O, 0.01854,-8.43943,-5.57714
O, 0.95254,-8.27823,-4.75714
O,-3.32341, 1.37687,-6.15714
O,-2.18596, 0.68267,-6.17714
O,-2.04756,-0.95813,10.66286
O,-2.78886,-2.07603,10.60286
O,-8.79846,-0.15933,-2.08714
O,-7.61246,-0.01673,-1.49714
O, 4.31254,-2.37944,-9.24714
O, 4.73754,-3.25613,-10.17714
O, 3.51554, 6.04047,-6.15714
O, 4.33954, 6.93747,-5.58714
O,-1.83246,-11.40753, 4.74286
O,-2.62476,-10.34253, 4.87286
O,-2.04366,10.08487,-2.88714
O,-0.84606, 9.54877,-2.75714
O, 5.18344,-8.34263, 6.24286
O, 4.14914,-8.59793, 7.01286
O, 6.53624,10.07517, 4.22286
O, 6.40254,11.28478, 4.66286
O, 3.33604, 7.30327, 9.80286
O, 2.69184, 7.64887,10.83286
O, 6.68954,-11.01903,-3.50714
O, 6.13254,-11.45331,-2.39714
O,-9.39166, 5.55517, 8.18286
O,-8.61106, 6.20947, 9.02286
